media_url,storage_key,alt_text,media_type,mime_type,file_size,bucket_name
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-bach-don/gallery-03.webp,product-lines/ao-bach-don/gallery-03.webp,Áo Bách Đơn - ảnh 3,IMAGE,image/webp,108838,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-bach-don/gallery-04.webp,product-lines/ao-bach-don/gallery-04.webp,Áo Bách Đơn - ảnh 4,IMAGE,image/webp,96590,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-bach-don/gallery-05.webp,product-lines/ao-bach-don/gallery-05.webp,Áo Bách Đơn - ảnh 5,IMAGE,image/webp,145108,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-bach-don/gallery-06.webp,product-lines/ao-bach-don/gallery-06.webp,Áo Bách Đơn - ảnh 6,IMAGE,image/webp,127638,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-bach-don/gallery-07.webp,product-lines/ao-bach-don/gallery-07.webp,Áo Bách Đơn - ảnh 7,IMAGE,image/webp,157340,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-hong-don/main.webp,product-lines/ao-hong-don/main.webp,Áo Hồng Đơn - ảnh chính,IMAGE,image/webp,115234,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-hong-don/gallery-01.webp,product-lines/ao-hong-don/gallery-01.webp,Áo Hồng Đơn - ảnh 1,IMAGE,image/webp,115234,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-hong-don/gallery-02.webp,product-lines/ao-hong-don/gallery-02.webp,Áo Hồng Đơn - ảnh 2,IMAGE,image/webp,122648,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-hong-don/gallery-03.webp,product-lines/ao-hong-don/gallery-03.webp,Áo Hồng Đơn - ảnh 3,IMAGE,image/webp,108400,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-hong-don/gallery-04.webp,product-lines/ao-hong-don/gallery-04.webp,Áo Hồng Đơn - ảnh 4,IMAGE,image/webp,109672,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-khue-don/main.webp,product-lines/ao-khue-don/main.webp,Áo Khuê Đơn - ảnh chính,IMAGE,image/webp,100182,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-khue-don/gallery-01.webp,product-lines/ao-khue-don/gallery-01.webp,Áo Khuê Đơn - ảnh 1,IMAGE,image/webp,100182,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-khue-don/gallery-02.webp,product-lines/ao-khue-don/gallery-02.webp,Áo Khuê Đơn - ảnh 2,IMAGE,image/webp,127176,product-media
